,open,close,high,low,volume
2015-01-26,12.7106,14.0553,15.0925,11.7092,1655002570.0
2015-01-27,13.1612,12.6819,13.5832,12.6533,928193153.0
2015-01-28,12.589,12.2814,12.589,12.0167,497075631.0
2015-01-29,11.9452,12.589,12.8608,11.8451,534066381.0
2015-01-30,12.5103,12.0525,12.6819,12.0167,362921922.0
2015-02-02,11.5733,11.1656,11.6949,11.0869,400684096.0
2015-02-03,11.3372,11.4302,11.5017,11.1656,329576376.0
2015-02-04,11.4445,11.1083,11.559,11.094,341057339.0
2015-02-05,11.4374,11.0082,11.4374,11.001,315504677.0
2015-02-06,10.8294,10.6935,11.0583,10.6291,265148213.0
2015-02-09,10.6649,11.1012,11.28,10.6005,355055094.0
2015-02-10,11.0153,10.951,11.187,10.8151,252561074.0
2015-02-11,11.0153,11.373,11.4302,10.8723,330914997.0
2015-02-12,11.2728,11.2871,11.4016,11.1441,212650115.0
2015-02-13,11.373,11.2728,11.4946,11.2442,219336621.0
2015-02-16,11.28,11.1799,11.3158,11.1298,171198814.0
2015-02-17,11.1942,11.2943,11.4016,11.1942,163642201.0
2015-02-25,11.3372,11.0797,11.3372,11.0511,135413317.0
2015-02-26,11.0368,11.3944,11.516,10.8651,287435394.0
2015-02-27,11.3229,11.2728,11.4159,11.2371,192286015.0
2015-03-02,11.4517,11.3944,11.6376,11.3086,282910566.0
2015-03-03,11.3372,11.0368,11.3444,11.0296,239916157.0
2015-03-04,11.0153,11.1012,11.2299,11.0153,141594074.0
2015-03-05,11.0296,11.0511,11.2085,10.9796,161902777.0
2015-03-06,11.0797,11.0153,11.1799,11.0082,131742473.0
2015-03-09,10.7507,10.9295,10.9724,10.6434,180932125.0
2015-03-10,10.8937,11.001,11.1584,10.8079,167339933.0
2015-03-11,11.001,10.8651,11.1441,10.8151,164130609.0
2015-03-12,10.9081,10.9653,11.1083,10.8079,173145184.0
2015-03-13,11.0153,10.9796,11.1512,10.9152,157251617.0
2015-03-16,11.0082,11.2013,11.2085,10.9152,274108204.0
2015-03-17,11.2871,12.0024,12.2313,11.2299,619351732.0
2015-03-18,12.0167,12.3672,12.589,11.8737,538348278.0
2015-03-19,12.3815,12.2885,12.4888,12.0954,346223792.0
2015-03-20,12.3172,12.8393,13.2828,12.074,597425872.0
2015-03-23,12.732,12.8035,13.0038,12.5675,395198923.0
2015-03-24,12.7678,12.3744,12.7749,12.1598,365616069.0
2015-03-25,12.3601,12.2456,12.6319,12.2027,274721104.0
2015-03-26,12.1598,12.31,12.4602,12.0382,250370016.0
2015-03-27,12.31,12.3172,12.4173,12.2313,169088375.0
2015-03-30,12.3386,12.4674,12.5818,12.2885,258672127.0
2015-03-31,12.589,12.3458,13.0539,12.3029,370876972.0
2015-04-01,12.3887,12.5031,12.639,12.2814,263001939.0
2015-04-02,12.5675,12.4244,12.6462,12.2885,239778450.0
2015-04-03,12.31,12.6605,12.7892,12.2957,336429989.0
2015-04-07,12.8035,12.825,12.8536,12.5961,353733237.0
2015-04-08,12.8822,13.7191,14.041,12.7463,686461042.0
2015-04-09,13.8192,13.6476,14.7277,13.5975,694530551.0
2015-04-10,13.5188,13.6619,13.7406,13.3186,324879389.0
2015-04-13,13.7334,13.6977,13.9194,13.4616,309293405.0
2015-04-14,13.6619,13.7191,13.9051,13.2613,313562120.0
2015-04-15,13.6977,13.2113,13.6977,13.2041,214019136.0
2015-04-16,13.0539,13.2685,13.4545,12.8965,205810510.0
2015-04-17,13.4258,13.3686,13.712,13.2756,269840637.0
2015-04-20,13.3758,12.9323,13.4115,12.9323,281070421.0
2015-04-21,12.7463,13.4044,13.5904,12.7463,279427836.0
2015-04-22,13.4545,14.0052,14.2842,13.3615,409424697.0
2015-04-23,14.0553,13.6047,14.1125,13.5617,373443585.0
2015-04-24,13.3758,13.154,13.4473,13.0038,258005367.0
2015-04-27,13.2256,13.2685,13.4473,13.104,200498720.0
2015-04-28,13.2756,13.1898,13.4401,13.0897,228634840.0
2015-04-29,13.2685,13.2041,13.3042,13.011,150683567.0
2015-04-30,13.2756,13.0038,13.2899,12.9824,175264830.0
2015-05-04,12.9967,12.9323,13.1326,12.8322,141342882.0
2015-05-05,12.918,12.5532,13.2113,12.5031,198430370.0
2015-05-06,12.6605,12.3744,12.9323,12.2456,188408535.0
2015-05-07,12.2671,12.4244,12.6605,12.2671,145185546.0
2015-05-08,12.6462,12.5317,12.732,12.2885,145788051.0
2015-05-11,12.7106,12.7892,12.7964,12.5532,192666221.0
2015-05-12,12.7964,12.9752,13.2113,12.6104,253661418.0
2015-05-13,12.9824,12.6748,12.9824,12.639,178904394.0
2015-05-14,12.6963,12.6104,12.825,12.5246,131543587.0
2015-05-15,12.5818,12.7106,13.0181,12.3172,250269966.0
2015-05-18,12.5031,12.4531,12.7106,12.3958,147501333.0
2015-05-19,12.4388,13.104,13.5045,12.4173,445646765.0
2015-05-20,13.011,12.8393,13.0682,12.7678,298270037.0
2015-05-21,12.8393,12.8393,12.9466,12.6819,188833032.0
2015-05-22,12.9609,13.1898,13.4258,12.8965,347687327.0
2015-05-25,13.2113,13.4545,13.7191,13.2113,392724119.0
2015-05-26,13.4902,13.5975,13.762,13.2184,424850103.0
2015-05-27,13.6118,14.0124,14.1626,13.4187,509816260.0
2015-05-28,14.0553,13.2399,14.7205,13.0825,646566926.0
2015-05-29,13.3186,13.3758,13.7191,12.8822,429969514.0
2015-06-01,13.3758,13.9623,14.2413,13.0181,443906600.0
2015-06-02,13.948,14.2341,14.2913,13.7406,402348214.0
2015-06-03,14.3772,13.7906,14.3772,13.7048,352341992.0
2015-06-04,13.8407,13.8336,14.134,13.0825,364628307.0
2015-06-05,14.0553,13.6977,14.1268,13.4187,372377895.0
2015-06-15,13.9766,13.5761,14.4988,13.5188,397237235.0
2015-06-16,13.3758,13.1183,13.7263,12.9967,252691248.0
2015-06-17,13.2756,13.1755,13.34,12.7392,222885431.0
2015-06-18,13.0396,12.5818,13.1612,12.5532,185364146.0
2015-06-19,12.5103,12.31,12.9466,12.2671,213905470.0
2015-06-23,12.4316,12.7535,12.7821,12.0525,195409539.0
